V1,V2,V3
-165.118032786885,72,-41.3349990844727
-164.950819672131,72,-40.7750053405762
-164.783606557377,72,-41.1150054931641
-164.616393442623,72,-40.6950035095215
-164.449180327869,72,-40.4850044250488
-164.281967213115,72,-40.6350021362305
-164.114754098361,72,-40.7750053405762
-163.947540983607,72,-41.1999893188477
-163.780327868852,72,-41.0099868774414
-163.613114754098,72,-39.6599884033203
-163.445901639344,72,-40.4799880981445
-163.27868852459,72,-40.4499893188477
-163.111475409836,72,-39.2899894714355
-162.944262295082,72,-39.757495880127
-162.777049180328,72,-40.1774978637695
-162.609836065574,72,-40.2774963378906
-162.44262295082,72,-37.9374961853027
-162.275409836066,72,-35.2174987792969
-162.108196721311,72,-35.377498626709
-161.940983606557,72,-34.3374977111816
-161.773770491803,72,-36.385009765625
-161.606557377049,72,-36.1050109863281
-161.439344262295,72,-36.3650093078613
-161.272131147541,72,-37.5650100708008
-161.104918032787,72,-38.3350105285645
-160.937704918033,72,-40.3350105285645
-160.770491803279,72,-39.987491607666
-160.603278688525,72,-40.4674949645996
-160.43606557377,72,-40.4774932861328
-160.268852459016,72,-42.8874931335449
-160.101639344262,72,-38.5574951171875
-159.934426229508,72,-34.987491607666
-159.767213114754,72,-37.1574935913086
-159.6,72,-47.6637725830078
-159.432786885246,72,-49.1637725830078
-159.265573770492,72,-50.5537757873535
-159.098360655738,72,-52.7137756347656
-158.931147540984,72,-56.6537742614746
-158.763934426229,72,-55.9637756347656
-158.596721311475,72,-57.103515625
-158.429508196721,72,-60.4835166931152
-158.262295081967,72,-64.0135192871094
-158.095081967213,72,-67.733512878418
-157.927868852459,72,-68.2035140991211
-157.760655737705,72,-71.4335174560547
-157.593442622951,72,-75.4948654174805
-157.426229508197,72,-76.7048645019531
-157.259016393443,72,-80.5148620605469
-157.091803278689,72,-84.9048614501953
-156.924590163934,72,-83.5848617553711
-156.75737704918,72,-80.0748596191406
-156.590163934426,72,-74.7748641967773
-156.422950819672,72,-70.459846496582
-156.255737704918,72,-69.4898452758789
-156.088524590164,72,-83.2998428344727
-155.92131147541,72,-111.029846191406
-155.754098360656,72,-124.859840393066
-155.586885245902,72,-171.849838256836
-155.419672131148,72,-197.080261230469
-155.252459016393,72,-229.690246582031
-155.085245901639,72,-276.940246582031
-154.918032786885,72,-439.01025390625
-154.750819672131,72,-529.350280761719
-154.583606557377,72,-325.840240478516
-154.416393442623,72,-248.740249633789
-154.249180327869,72,-297.300201416016
-154.081967213115,72,-378.100219726562
-153.914754098361,72,-669.240234375
-153.747540983607,72,-549.290222167969
-153.580327868852,72,-867.280212402344
-153.413114754098,72,-1095.58020019531
-153.245901639344,72,-1243.47839355469
-153.07868852459,72,-1294.34838867188
-152.911475409836,72,-1584.92846679688
-152.744262295082,72,-1634.8583984375
-152.577049180328,72,-1624.95849609375
-152.409836065574,72,-1806.56848144531
-152.24262295082,72,-1971.47253417969
-152.075409836066,72,-2177.09252929688
-151.908196721311,72,-2206.63256835938
-151.740983606557,72,-2117.5625
-151.573770491803,72,-2377.4326171875
-151.406557377049,72,-2499.40258789062
