"","Estimate","Std. Error","Est. (bias.correct)","Std. (bias.correct)"
"log_effective_area_ctl",11.6580692017381,0.204189957125044,NA,NA
"log_effective_area_ctl",11.3222622736646,0.249546487570846,NA,NA
"log_effective_area_ctl",11.5038494862177,0.335846593138618,NA,NA
"log_effective_area_ctl",11.6394057626547,0.176008476783005,NA,NA
"log_effective_area_ctl",10.861091554861,0.376597156969642,NA,NA
"log_effective_area_ctl",9.80134573561102,0.413737979340818,NA,NA
"log_effective_area_ctl",11.1005064833564,0.469066750412628,NA,NA
"log_effective_area_ctl",11.4680663805984,0.420891692119283,NA,NA
"log_effective_area_ctl",9.78000013039177,0.455238419580064,NA,NA
"log_effective_area_ctl",10.4452915985793,0.471136794817819,NA,NA
"log_effective_area_ctl",10.1814024876026,0.382128621698709,NA,NA
"log_effective_area_ctl",11.3055810335709,0.340014904125985,NA,NA
